assists,bountyLevel,champExperience,champLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,goldEarned,goldSpent,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
13,0,9335,12,3,286,286,286,8800,5,1,0,6836,6325,0,0,0,0,0,555,10855,4046,4140,0,0,2580,337,7926,0,0,91,59,33,6,42,1750,13436,4384,1156,12510,23078,18577,11,179,137,5,0,0,0,443,50,1,2,27,FALSE,NA1_4430733034
18,0,10581,13,4,515,6550,515,7882,1,2,0,7199,6400,0,0,0,0,0,1592,15596,4766,5930,0,0,3132,674,6520,0,0,90,55,25,6,36,1632,23369,5630,1066,12898,24247,17047,16,196,0,5,0,4641,189,448,45,2,6,21,FALSE,NA1_4430708927
10,1,9881,12,5,2350,4556,2350,4067,1,2,0,7460,6925,0,2,0,0,1,794,56004,9164,4697,8,0,14906,1128,1407,0,0,28,31,148,8,26,1357,71550,10930,3426,6105,65,0,118,303,30,1,0,638,638,0,11,3,0,6,TRUE,NA1_4430696272
15,1,9618,12,5,1469,3407,1469,5184,3,3,0,7527,5625,0,2,0,0,1,706,13365,4158,4744,0,0,4659,1286,4865,0,0,81,53,25,6,35,1469,18025,5445,981,9807,17603,13436,7,181,77,5,0,0,0,196,50,3,2,23,TRUE,NA1_4430357738
14,0,8737,12,6,267,4022,267,7421,6,3,0,6599,5635,0,0,0,0,0,470,21331,6499,5509,0,0,2757,1174,8927,0,0,63,45,90,6,30,1594,27799,7673,4636,15087,4981,3998,23,196,132,5,0,3710,0,650,48,4,4,26,FALSE,NA1_4430322389
9,0,10496,13,9,440,2776,440,6815,4,6,0,6860,6625,0,0,0,0,0,595,17484,4559,6468,0,0,4431,845,6215,0,0,86,65,39,8,35,1912,27882,5717,1072,13513,30121,22815,19,219,100,5,0,5966,311,829,51,7,1,28,FALSE,NA1_4430296500
28,0,13717,15,9,1077,1641,1077,8032,5,4,0,9162,8575,0,1,0,0,1,716,9145,3781,4740,0,0,2985,1244,5886,0,0,75,112,26,8,28,1958,12365,5260,1875,11375,36292,29536,10,128,148,6,0,233,233,749,68,4,3,30,TRUE,NA1_4430094956
4,0,7111,10,8,125,125,125,5833,6,5,0,5387,4800,0,1,0,0,1,395,6733,2110,5719,0,0,2527,830,3446,0,0,52,45,18,4,14,1405,9260,2941,962,9616,11813,10263,19,115,113,5,0,0,0,450,46,6,8,20,FALSE,NA1_4430019541
13,0,9325,12,7,768,1972,768,3914,3,5,0,7612,6625,0,1,0,0,1,740,7289,2314,2033,0,0,2338,436,5293,0,0,68,58,27,6,30,1639,9755,2863,1025,7453,20685,17358,10,153,59,5,0,128,112,126,64,5,7,26,TRUE,NA1_4429861622
18,0,11565,14,7,572,572,572,5431,4,3,0,7858,7425,0,1,0,0,1,538,10825,3309,4726,0,0,2618,890,5160,0,0,109,32,62,8,43,1844,14746,5503,6252,10360,7439,6152,16,241,86,8,0,1302,1302,474,71,5,7,31,FALSE,NA1_4429708422
14,2,9374,12,5,992,1449,992,6904,2,3,0,7521,7060,1,3,0,2,1,809,18701,7560,2235,4,0,2953,1289,5958,0,0,40,43,101,7,31,1420,21655,8850,2650,8456,1082,0,13,131,51,1,0,0,0,262,37,3,4,15,TRUE,NA1_4429125987
27,0,12819,14,7,1409,3899,1409,6205,3,5,0,8870,7275,0,1,0,0,1,1251,13699,3877,2178,0,0,3421,458,5493,0,0,82,91,26,9,22,1898,17121,4335,1558,8067,38116,33147,14,133,112,5,0,0,0,396,59,5,9,32,TRUE,NA1_4428942732
11,0,8332,11,4,735,1163,735,5625,4,2,0,6157,5700,0,0,0,0,0,705,10670,2922,5002,0,0,2532,707,5646,0,0,65,51,26,4,21,1516,13203,3630,820,11335,16337,12427,9,177,84,5,0,0,0,687,42,2,2,22,FALSE,NA1_4428897457
10,0,8765,12,8,104,1253,104,6451,2,4,0,7203,6625,1,2,0,2,1,1371,5621,2567,4461,0,0,2367,429,6056,0,0,74,56,29,6,27,1779,8394,3343,1291,10962,20889,17045,7,116,73,5,0,406,346,445,56,6,5,24,FALSE,NA1_4428931145
4,0,6761,10,4,0,0,0,5777,4,1,0,5051,4950,0,0,0,0,0,522,11760,2797,4157,0,0,2006,439,5872,0,0,87,20,41,3,33,1352,13766,3236,2417,10056,4085,2237,3,304,99,5,0,0,0,26,27,2,1,16,FALSE,NA1_4428848751
23,1,13624,15,11,648,3039,648,5115,3,7,0,9548,9075,0,1,0,0,1,792,14406,4625,6069,0,0,2875,572,4233,0,0,90,95,38,9,35,2093,17908,5735,1958,10962,39968,30822,13,161,87,5,0,625,537,659,85,9,6,37,TRUE,NA1_4428796281
6,0,4800,8,4,427,941,427,3052,2,1,0,4994,4600,0,1,0,0,1,692,4999,2096,1610,0,0,2642,390,3309,0,0,49,33,21,5,17,1166,7641,2487,635,5430,8195,6545,8,77,44,5,0,0,0,510,32,2,5,13,FALSE,NA1_4428763646
13,1,11473,14,7,1663,3479,1663,6226,2,4,1,8893,7275,1,3,0,2,2,401,12002,4242,1393,0,0,3289,878,7195,0,0,69,88,32,10,31,1896,16012,5841,1686,9207,39353,30872,9,174,24,6,0,720,720,618,74,5,4,33,TRUE,NA1_4428696638
12,0,9926,12,7,1657,2116,1657,3784,1,4,0,7238,5700,0,0,0,0,0,1253,8377,3177,2274,0,0,1790,422,4079,0,0,84,56,28,6,25,1507,10178,3610,1066,6477,21084,17425,11,115,34,5,0,10,10,124,67,5,9,24,TRUE,NA1_4428656222
14,0,7021,10,6,1483,2220,1483,3347,1,3,0,6425,5150,0,0,0,0,0,397,7068,2380,1496,0,0,2726,808,3719,0,0,47,39,13,4,18,1356,9795,3188,517,5258,11940,9673,7,114,12,5,0,0,0,42,45,4,3,18,TRUE,NA1_4428682844
8,0,6308,10,5,325,436,325,6122,7,3,0,5550,5260,0,0,0,0,0,362,6036,2384,4967,0,0,1957,367,6689,0,0,61,17,23,4,23,1228,7993,2751,629,11945,7716,5912,13,112,167,5,0,0,0,289,38,3,5,14,FALSE,NA1_4428690972
10,0,9197,12,2,450,1255,450,5805,6,0,0,6787,6400,0,1,0,0,1,1021,13915,3211,9737,0,0,2942,818,5377,0,0,113,25,63,3,49,1733,17057,4230,6329,15115,3604,2679,13,335,167,5,0,200,200,0,52,0,6,26,FALSE,NA1_4428670282
5,1,10580,13,5,497,982,497,6975,3,2,0,8624,7175,0,2,0,0,1,524,87151,13757,5123,4,0,10572,1111,4549,0,0,47,28,167,14,36,1422,101569,14869,1059,10074,0,0,161,439,80,0,0,3846,0,401,22,3,0,9,FALSE,NA1_4428317400
18,0,13611,15,13,103,1015,103,10195,6,8,0,9476,9050,1,3,0,2,1,423,15732,4896,3934,0,0,2725,1061,10603,0,0,125,32,74,7,67,1949,18656,5957,8258,16019,8323,5435,16,348,146,9,0,198,0,1481,86,7,10,38,FALSE,NA1_4428229654
15,0,7158,10,7,0,144,0,6243,7,4,0,5360,4910,0,0,0,0,0,263,7749,2097,7924,0,0,1402,908,8690,0,0,98,22,54,5,30,1497,9152,3005,5220,16759,8233,6559,4,227,112,5,0,0,0,145,46,5,3,25,FALSE,NA1_4428241990
21,0,11608,14,6,654,987,654,6909,1,4,0,7779,6550,0,0,0,0,0,501,9660,4857,4943,0,0,2012,1092,6627,0,0,115,35,65,7,54,1692,11673,5949,6700,11675,12423,7521,9,333,16,11,0,0,0,104,70,4,7,34,TRUE,NA1_4428136688
14,0,10737,13,8,0,235,0,10195,10,5,0,6962,6450,0,1,0,0,1,257,9517,3462,9947,0,0,2113,396,9031,0,0,97,30,61,5,45,1716,11631,3859,5620,20110,4677,3139,16,258,228,5,0,0,0,1131,40,6,4,24,FALSE,NA1_4428037449
22,0,11914,14,11,1239,3263,1239,6136,4,5,0,8474,6910,0,0,0,0,0,315,10629,3716,3785,0,0,3379,952,6598,0,0,88,80,26,9,28,1760,14009,4668,1897,11097,30342,22268,21,124,70,5,0,0,0,714,69,9,8,33,TRUE,NA1_4427469962
8,0,10549,13,8,621,1687,621,7001,4,5,0,7315,7275,0,1,0,0,1,985,10285,4927,6889,0,0,2179,787,4754,0,0,64,52,75,7,31,1730,13299,6548,6607,11643,922,0,11,236,148,1,0,834,834,0,62,6,8,26,FALSE,NA1_4427413465
9,2,11211,13,8,2915,6901,2915,5718,3,6,0,10110,8750,1,4,0,2,1,680,27368,7748,4885,0,0,4984,2031,5169,0,0,89,52,104,8,37,1769,32532,9959,6393,10783,15678,13494,23,165,73,5,0,179,179,728,64,6,4,35,TRUE,NA1_4427232255
14,0,7578,11,7,266,2213,266,1523,1,3,0,6310,6360,0,1,0,0,1,1345,4054,1435,3056,0,0,3452,600,1179,0,0,53,15,40,3,21,1456,8503,2035,2952,5063,2422,1558,8,109,34,4,0,997,0,826,40,4,4,19,TRUE,NA1_4427133424
14,1,8457,11,4,639,1795,639,2869,0,2,0,6346,5850,0,1,0,0,1,0,4617,1009,2039,0,0,2651,323,3130,0,0,61,15,55,4,16,1334,7269,1332,3939,5262,3858,2289,9,88,0,6,0,0,0,92,41,2,5,14,TRUE,NA1_4427058911
13,0,8692,12,9,188,871,188,9224,9,6,0,6723,6490,0,0,0,0,0,339,6733,2588,3175,0,0,2073,658,10131,0,0,94,26,41,3,47,1734,8816,3256,2732,13678,3183,2481,7,266,208,5,0,9,9,372,52,7,0,31,FALSE,NA1_4427043210
7,0,9009,12,7,814,2901,814,6407,4,3,1,7735,7400,1,3,0,2,2,765,26891,9411,2489,1,0,4119,2140,7043,0,0,48,41,70,7,40,1557,35758,11552,2239,9910,2423,2123,25,217,93,5,0,4748,0,378,38,5,1,21,FALSE,NA1_4426997623
12,1,10758,13,9,231,231,231,5360,1,5,0,7706,6850,0,1,0,0,1,396,7351,2465,2571,0,0,1646,799,5160,0,0,104,23,58,5,35,1991,9007,3274,5283,8029,1988,1130,11,231,12,5,0,9,9,298,63,7,5,37,FALSE,NA1_4426528656
16,0,11093,13,11,587,1802,587,8483,3,7,0,8594,7725,0,1,0,0,1,1088,9228,3318,7899,0,0,2555,694,5539,0,0,113,30,68,6,53,1989,11783,4012,6827,13672,7927,4008,16,308,50,11,0,0,0,233,81,9,12,32,TRUE,NA1_4426533492
6,0,11074,13,6,0,37,0,9673,7,3,0,6184,5335,0,1,0,0,1,425,6044,2904,8904,0,0,2312,1126,7806,0,0,60,48,74,7,27,1749,8356,4030,7575,17066,5073,4099,15,188,115,5,0,0,0,355,51,4,9,29,FALSE,NA1_4426458810
24,0,14268,15,13,1940,2499,1940,11017,3,8,0,10706,9250,1,4,0,3,1,679,12847,4701,6579,0,0,3521,834,5956,0,0,136,37,76,10,60,2090,17089,6256,7811,12995,11747,10087,17,270,99,8,0,719,719,459,108,5,11,48,TRUE,NA1_4426411516
21,0,9105,12,6,1735,3135,1735,2166,1,3,0,7904,6600,0,1,0,0,1,1230,12218,4218,4489,0,0,2899,686,1936,0,0,70,41,67,4,30,1430,15118,4904,6037,6487,385,0,5,229,34,1,0,0,0,61,55,4,5,20,TRUE,NA1_4426203836
22,0,12076,14,6,1050,4105,1050,8451,5,2,0,8731,7500,0,1,0,0,1,548,9512,3387,9849,0,0,2458,1169,6563,0,0,124,33,65,6,54,1730,13965,4556,6739,16872,8349,5235,6,248,93,10,0,1995,0,459,65,4,5,27,TRUE,NA1_4426042390
7,0,10939,13,8,0,663,0,5369,5,5,0,7130,6800,0,0,0,0,0,690,11318,3164,4283,0,0,2194,519,6339,0,0,70,62,90,3,28,1975,17100,4665,8594,11104,123,0,17,269,104,1,0,3587,982,481,69,6,8,36,FALSE,NA1_4426012240
12,0,9099,12,10,0,151,0,11070,7,6,0,6536,6385,0,1,0,0,1,456,9382,3519,9940,0,0,2298,901,7622,0,0,120,36,59,8,49,1758,11681,4421,6522,18747,7731,4503,8,279,152,17,0,0,0,1184,61,8,3,32,FALSE,NA1_4425918825
7,0,6490,10,7,467,1431,467,4857,3,4,0,5690,5375,0,1,0,0,1,860,6253,2614,4756,0,0,2646,494,4077,0,0,66,25,19,5,20,1453,8900,3109,718,9067,9873,6960,10,98,81,5,0,0,0,234,32,5,6,17,FALSE,NA1_4425944264
7,0,8138,11,4,0,2075,0,8358,8,1,0,6044,5500,0,1,0,0,1,521,8322,4759,5987,0,0,1772,687,8749,0,0,64,53,65,6,29,1592,11790,5446,5700,14952,297,0,16,195,157,1,0,1695,0,215,33,2,3,20,FALSE,NA1_4425692466
14,0,10355,13,11,550,1251,550,6681,4,7,0,7695,6250,0,0,0,0,0,363,7232,1910,3306,0,0,1743,371,6432,0,0,114,31,84,8,59,1916,9057,2364,5546,10058,7565,6118,17,273,78,10,0,82,82,320,73,9,10,36,TRUE,NA1_4425609527
19,0,14490,15,12,1075,3409,1075,12860,5,6,0,8932,8675,0,0,0,0,0,1299,15491,6715,6875,0,0,4603,1290,12536,0,0,77,90,132,14,53,2187,21873,8216,10617,20799,1411,0,17,322,160,1,0,1778,211,1387,70,6,5,33,FALSE,NA1_4425644331
1,0,6240,10,5,634,2481,634,4902,7,3,0,5485,5225,0,1,0,0,1,340,15794,3962,1981,0,0,2745,1029,8097,0,0,49,30,60,2,16,1459,19537,4992,1439,10343,2185,2011,15,161,87,4,0,997,0,263,43,3,2,20,FALSE,NA1_4425580388
9,0,10275,13,9,0,1608,0,10597,7,6,0,6313,5725,0,0,0,0,0,607,6703,3449,7022,0,0,2272,441,9561,0,0,51,55,61,7,32,1933,8975,3891,4073,16857,558,0,6,165,235,1,0,0,0,273,54,7,5,27,FALSE,NA1_4425513947
21,0,9614,12,9,1445,1915,1445,7702,5,4,0,7802,6700,0,1,0,0,1,466,12319,5887,3040,0,0,1626,845,8730,0,0,75,61,72,7,44,1659,14682,7470,5841,11945,528,0,9,253,85,1,0,737,737,174,61,7,3,30,TRUE,NA1_4425395047
10,0,7308,11,4,768,2801,768,5666,3,2,0,6490,6250,0,1,0,0,1,773,12678,4813,989,0,0,3198,1270,7708,0,0,63,53,68,7,33,1522,18408,7155,6294,8817,62,0,8,306,99,1,0,2531,1070,120,56,2,2,27,FALSE,NA1_4425379881
12,0,7296,10,3,0,161,0,7060,9,1,0,5610,5225,0,0,0,0,0,562,5497,2788,5309,0,0,1528,814,9054,0,0,64,41,32,5,24,1525,7026,3602,854,15199,10109,8104,4,104,205,5,0,0,0,835,32,1,4,19,FALSE,NA1_4425322746
22,0,13673,15,9,500,3106,500,8055,3,6,0,8396,7725,0,0,0,0,0,1164,9854,4355,2938,4,0,2826,491,8648,0,0,109,61,29,10,37,2018,13664,5830,2234,12458,26215,21153,12,123,66,6,0,982,982,872,75,7,5,33,TRUE,NA1_4425294224
9,0,6174,10,5,1209,2674,1209,3971,1,3,0,5226,4025,0,0,0,0,0,606,8145,2975,1889,0,0,2054,568,3783,0,0,50,24,53,2,17,1147,10734,4078,3691,5760,838,0,10,137,16,1,0,534,534,86,29,3,6,12,TRUE,NA1_4425079476
12,0,10539,13,7,572,1477,572,6851,8,3,0,7833,7425,0,2,0,0,1,453,10479,4151,2578,0,0,2126,911,8983,0,0,76,53,33,6,36,1803,12890,5347,872,14782,16690,13265,9,145,192,5,0,284,284,3220,56,5,3,22,FALSE,NA1_4425075400
16,0,9033,12,7,1408,2674,1408,6062,4,3,0,6822,6325,0,0,0,0,0,773,8053,2379,1863,0,0,3183,515,8888,0,0,47,45,54,5,17,1520,11237,2895,4211,11269,200,0,2,146,105,1,0,0,0,517,50,5,0,26,TRUE,NA1_4424452671
20,1,12983,14,9,1447,4439,1447,11757,3,6,0,9562,8250,0,2,0,0,1,656,25627,8346,6278,4,0,5487,1896,9655,0,0,77,70,89,7,37,1884,31960,10707,6041,16018,14697,9801,14,287,82,5,0,845,464,84,88,6,9,36,TRUE,NA1_4424150670
10,0,14709,16,5,2337,4694,2337,13142,8,2,0,11240,9975,0,3,0,0,1,703,93841,10511,9885,8,0,12872,1327,11207,0,0,116,43,59,10,39,1908,107531,11917,0,22271,1616,0,157,211,248,1,0,817,78,1178,20,3,4,4,TRUE,NA1_4424113247
19,0,6793,10,7,0,468,0,6249,9,3,0,5994,5600,0,0,0,0,0,301,8894,4105,1658,0,0,1735,815,9793,0,0,57,45,21,5,36,1328,10629,4921,866,12747,12915,10288,11,162,166,5,0,0,0,1295,41,5,4,20,FALSE,NA1_4424109884
22,0,9293,12,9,670,1466,670,6012,2,4,0,7793,6900,0,0,0,0,0,573,8938,4084,4876,4,0,2323,843,5927,0,0,62,56,87,7,25,1494,11261,4927,8632,11073,1479,0,5,201,47,1,0,0,0,270,49,7,4,24,TRUE,NA1_4423936742
31,0,12515,14,10,1344,2250,1344,11991,7,6,0,9098,8525,0,1,0,0,1,260,10380,4301,1408,0,0,2111,844,14799,0,0,76,69,92,10,42,1861,12552,5205,9880,16658,1680,0,13,225,91,1,0,60,60,449,74,7,5,41,TRUE,NA1_4423879018
30,0,11190,13,10,1750,3536,1750,10065,5,4,0,9352,8375,0,3,0,0,1,828,11849,4321,4387,0,0,3407,1254,9590,0,0,83,84,99,9,39,1752,16226,6544,7873,14948,2020,0,13,243,92,1,0,969,969,970,88,5,9,33,TRUE,NA1_4423875392
16,0,13146,15,9,81,428,81,8307,6,7,0,8133,8025,0,0,0,0,0,620,11780,5439,5726,0,0,2165,656,8022,0,0,88,88,40,11,43,2316,14056,6206,1812,14210,32600,26282,10,176,150,5,0,110,110,461,90,7,5,44,FALSE,NA1_4423600182
28,0,14108,15,12,2036,4055,2036,12881,4,5,0,10624,10600,1,3,0,3,1,1026,22168,7878,9561,0,0,4736,1413,6916,0,0,88,92,106,10,49,2036,27776,10164,9598,16626,738,0,21,355,156,1,0,872,872,148,92,5,10,37,TRUE,NA1_4423409510
18,0,12233,14,10,674,2470,674,11334,2,6,0,9559,8725,1,3,0,3,1,1426,28139,6205,5503,0,0,4587,1221,9884,0,0,98,71,110,14,33,2086,32727,7427,5886,15735,15714,12249,45,165,86,5,0,0,0,346,86,7,16,35,FALSE,NA1_4421628692
17,0,16527,17,10,1635,9860,1635,15962,2,6,0,11912,9775,1,3,0,3,1,1566,39921,10352,3527,0,0,3739,829,11867,0,0,88,28,182,46,17,2275,47874,11745,7711,16098,2943,0,27,154,83,1,0,4213,563,704,112,8,9,58,TRUE,NA1_4421447918
22,1,14072,15,11,843,1716,843,4849,4,7,0,9928,8675,0,2,0,0,1,906,11706,3637,5289,0,0,2423,805,3955,0,0,74,73,31,8,28,1958,14323,4635,2497,12178,31716,25236,22,147,75,5,0,192,192,2933,100,7,15,39,TRUE,NA1_4421392210
8,0,8277,11,8,0,347,0,5633,5,5,1,7383,7200,0,3,0,0,2,522,8405,3419,4050,0,0,2716,1241,5013,0,0,51,69,75,6,32,1816,11212,4752,5016,10460,298,0,15,223,91,1,0,90,90,1397,81,6,11,32,FALSE,NA1_4420888940
18,0,10251,13,6,641,2081,641,11752,11,4,0,10493,9500,1,6,0,2,1,334,29886,8033,5886,4,0,5084,1729,13356,0,0,72,41,88,8,43,1951,35593,10091,6004,20092,10026,8368,29,186,283,5,0,621,327,848,79,4,8,26,FALSE,NA1_4420873996
14,0,7341,11,4,973,1075,973,1309,2,2,0,5618,4685,0,0,0,0,0,591,5280,3060,2151,0,0,999,442,965,0,0,66,57,17,3,25,1313,6279,3502,958,3439,15236,12780,2,91,29,5,0,0,0,323,31,2,2,14,TRUE,NA1_4420839657
17,0,8044,11,7,696,852,696,6141,5,3,0,6828,6550,0,0,0,0,0,573,9066,4813,3314,0,0,2571,506,6527,0,0,75,55,35,9,40,1725,12078,5760,1480,9902,21646,17303,14,159,134,5,0,440,440,60,63,5,11,23,FALSE,NA1_4420795523
18,0,12584,14,11,338,2708,338,13165,8,6,0,8710,8525,0,1,0,0,1,512,13579,5431,10823,4,0,2623,1106,9411,0,0,66,89,76,5,31,1991,16202,6537,5823,20839,2396,0,12,197,205,1,0,0,0,604,89,8,7,42,FALSE,NA1_4420777410
17,2,7602,11,9,1577,2654,1577,3898,3,7,0,6838,6075,1,2,0,2,1,270,6244,2285,2614,0,0,2350,845,4426,0,0,37,51,41,4,26,1269,8714,3251,2399,7104,638,348,7,138,36,3,0,120,120,63,44,7,6,19,TRUE,NA1_4420671804
6,1,6308,10,5,1427,2788,1427,2776,2,2,0,5865,5125,0,1,0,0,1,452,7781,2285,130,0,0,1800,201,4411,0,0,57,52,16,4,17,1235,9582,2486,572,4541,12857,10314,7,100,30,5,0,0,0,0,37,3,5,14,TRUE,NA1_4416804248
13,1,6774,10,7,1139,3116,1139,4450,0,4,0,6602,5560,0,1,0,0,1,0,9769,3311,2343,0,0,2838,688,2159,0,0,46,42,46,3,20,1201,12607,3999,2351,4502,1386,621,7,161,0,5,0,0,0,0,42,5,4,18,TRUE,NA1_4416822076
11,0,5931,9,8,0,0,0,4865,4,5,0,6035,5200,0,1,0,0,1,395,5873,3641,1753,0,0,1338,489,5828,0,0,57,67,19,5,29,1401,7211,4131,738,9024,16079,12541,5,113,63,6,0,0,0,1442,38,6,2,20,FALSE,NA1_4416799197
17,0,11076,13,8,1508,5936,1508,7263,3,5,1,8034,7150,1,2,0,2,2,1103,15803,5295,2245,0,0,4644,1712,8692,0,0,77,51,95,10,28,1736,20792,7187,3658,11632,11317,8855,16,154,90,5,0,344,179,694,52,6,5,21,TRUE,NA1_4416757538
3,0,4889,8,7,0,1898,0,5125,6,4,0,5233,4910,0,1,0,0,1,336,10868,5155,4849,0,0,1599,273,5940,0,0,38,36,19,5,37,1294,14092,5912,747,10943,700,139,16,68,100,2,0,1624,484,152,36,5,4,16,FALSE,NA1_4416745447
7,0,7338,11,6,147,507,147,8191,4,3,0,6291,5850,0,2,0,0,1,780,11001,6063,2782,4,0,2442,1150,7764,0,0,35,51,19,5,35,1569,13497,7268,1453,11196,955,0,14,68,83,1,0,53,53,648,45,4,5,22,FALSE,NA1_4416772270
6,1,7229,10,4,1925,1925,1925,2707,3,2,0,6275,5100,0,3,0,0,1,542,21241,9060,1721,0,0,2759,702,2370,0,0,26,29,78,7,33,1316,25014,10777,1160,4261,8,0,15,109,53,1,0,1014,1014,170,47,2,2,23,TRUE,NA1_4416501195
11,0,6946,10,7,198,291,198,7070,7,3,0,6138,5375,0,1,0,0,1,321,10171,5445,5058,0,0,1868,795,7938,0,0,71,36,28,5,41,1455,12040,6241,946,14332,14831,10916,9,158,131,5,0,0,0,1335,44,5,2,21,FALSE,NA1_4416483737
24,0,13275,15,10,1437,5268,1437,10990,11,6,0,9596,7650,0,1,0,0,1,374,18003,5417,10105,0,0,2990,959,10117,0,0,55,63,90,10,28,2116,20994,6376,6059,21571,8404,7554,16,177,346,5,0,0,0,1347,95,8,6,37,TRUE,NA1_4416416353
13,0,10388,13,9,301,2323,301,6637,3,7,0,7957,7775,1,2,0,2,1,963,43014,7567,5178,0,0,4783,1510,6466,0,0,76,44,102,8,35,1803,47798,9078,3858,11833,6470,5148,37,270,63,5,0,0,0,188,59,7,10,28,FALSE,NA1_4415869452
13,0,8418,11,8,821,1422,821,5863,6,4,0,7285,6625,0,1,0,0,1,550,13222,5075,8491,0,0,1928,887,5438,0,0,46,40,68,8,22,1629,15150,5962,2906,14016,7672,5573,12,116,128,5,0,0,0,86,63,6,8,23,FALSE,NA1_4415875191
14,0,9271,12,8,572,572,572,7296,4,4,0,8525,7700,1,4,0,2,1,757,24407,11257,2206,0,0,3665,1693,10302,0,0,75,41,92,9,50,1599,28941,13746,5050,12578,8375,7970,22,242,126,5,0,867,795,70,51,6,6,20,FALSE,NA1_4415870625
16,0,7084,10,5,1255,4416,1255,3735,1,3,0,5422,4175,0,0,0,0,0,941,9377,3462,1778,0,0,3887,1278,4672,0,0,48,35,64,5,15,1215,16440,4741,2984,6884,4257,2183,7,79,6,5,0,3175,0,432,30,3,1,12,TRUE,NA1_4415487563
17,0,7334,11,6,1448,5479,1448,3930,0,3,0,6630,5475,0,0,0,0,0,0,14150,2656,1644,0,0,3688,714,4621,0,0,38,43,61,6,16,1337,18979,3370,2461,6266,9095,5987,8,123,0,5,0,1140,0,0,50,3,6,17,TRUE,NA1_4415503561
21,0,13845,15,18,0,0,0,22283,8,12,0,11024,10350,1,4,0,2,1,597,32735,13571,10305,0,0,2989,1376,15202,0,0,66,90,38,10,69,2279,36917,16140,3048,27029,5043,0,28,119,247,1,0,1192,1192,1521,73,10,11,46,FALSE,NA1_4415435612
